Restaurant ID,Restaurant Name,Location,Cuisine,Average Cost (per person),Rating,Votes,Sales (₹),Online Order
R100052,Restaurant_52,Hyderabad,Italian,747,4.1,4219,645557,Yes
R100053,Restaurant_53,Mumbai,Chinese,156,4.9,3256,1123090,Yes
R100054,Restaurant_54,Ahmedabad,Fast Food,1067,2.9,3005,188639,Yes
R100055,Restaurant_55,Hyderabad,Mughlai,234,4.4,1994,805007,No
R100056,Restaurant_56,Mumbai,Mexican,923,3.3,691,289879,Yes
R100057,Restaurant_57,Kolkata,South Indian,1106,4.5,4889,1623228,Yes
R100058,Restaurant_58,Kolkata,Fast Food,1220,4.2,111,948436,Yes
R100059,Restaurant_59,Lucknow,Fast Food,755,4.8,1273,1207861,Yes
R100060,Restaurant_60,Hyderabad,Japanese,575,4.3,2587,82378,No
R100061,Restaurant_61,Kolkata,Continental,575,3.5,542,1992754,Yes
R100062,Restaurant_62,Mumbai,Japanese,885,2.5,1189,189719,Yes
R100063,Restaurant_63,Lucknow,Japanese,940,4.5,1305,1124915,Yes
R100064,Restaurant_64,Mumbai,Mughlai,664,3.5,2545,573928,No
R100065,Restaurant_65,Lucknow,Chinese,1302,4.2,3335,1356420,Yes
R100066,Restaurant_66,Hyderabad,Italian,1422,2.8,2305,391296,Yes
R100067,Restaurant_67,Ahmedabad,Japanese,890,4.7,1051,1506632,No
R100068,Restaurant_68,Pune,Thai,280,3.6,1175,1930391,Yes
R100069,Restaurant_69,Jaipur,Italian,472,4.8,3931,324068,Yes
R100070,Restaurant_70,Ahmedabad,Chinese,972,4.3,4155,1336962,Yes
R100071,Restaurant_71,Chennai,South Indian,692,2.8,3594,1585996,No
R100072,Restaurant_72,Mumbai,Continental,215,3.9,1196,1846013,Yes
R100073,Restaurant_73,Chennai,Italian,867,4.8,836,573784,Yes
R100074,Restaurant_74,Ahmedabad,Mexican,1274,4.5,2101,1970319,No
R100075,Restaurant_75,Lucknow,Mughlai,180,3.5,308,1672751,Yes
R100076,Restaurant_76,Jaipur,Fast Food,1034,4.9,3899,1539356,Yes
R100077,Restaurant_77,Jaipur,South Indian,340,3.2,4666,528742,No
R100078,Restaurant_78,Delhi,Chinese,564,3.4,765,231691,Yes
R100079,Restaurant_79,Jaipur,Japanese,896,4.4,1693,1724682,No
R100080,Restaurant_80,Pune,Thai,1219,3.1,173,1786583,No
R100081,Restaurant_81,Jaipur,Thai,1262,3.8,1823,168463,No
R100082,Restaurant_82,Ahmedabad,Continental,524,4.3,971,950322,Yes
R100083,Restaurant_83,Delhi,Chinese,1419,4.1,2227,1185157,Yes
R100084,Restaurant_84,Ahmedabad,South Indian,707,2.9,1553,1292715,Yes
R100085,Restaurant_85,Ahmedabad,Mexican,1430,4.1,1902,590174,Yes
R100086,Restaurant_86,Bangalore,Fast Food,1278,3.9,2174,1582723,Yes
R100087,Restaurant_87,Delhi,Japanese,1474,3.9,3304,1794860,Yes
R100088,Restaurant_88,Ahmedabad,Mughlai,1250,4.6,2463,412162,Yes
R100089,Restaurant_89,Bangalore,North Indian,1403,3.0,4437,1819987,Yes
R100090,Restaurant_90,Bangalore,North Indian,727,4.4,206,359665,Yes
R100091,Restaurant_91,Delhi,Japanese,181,4.4,1173,1234868,No
R100092,Restaurant_92,Chennai,South Indian,207,4.3,967,146663,No
R100093,Restaurant_93,Lucknow,Japanese,1277,3.8,1752,223460,Yes
R100094,Restaurant_94,Pune,Chinese,461,3.5,1715,1202129,Yes
R100095,Restaurant_95,Lucknow,North Indian,1240,3.5,4283,1208662,Yes
R100096,Restaurant_96,Jaipur,Continental,839,4.3,2161,770567,Yes
R100097,Restaurant_97,Pune,Chinese,384,3.7,3764,1073818,Yes
R100098,Restaurant_98,Jaipur,North Indian,792,3.3,2604,1025691,Yes
R100099,Restaurant_99,Ahmedabad,Mexican,1285,4.1,3074,1188627,No
R100100,Restaurant_100,Mumbai,Fast Food,1227,4.6,4085,193394,Yes
R100101,Restaurant_101,Delhi,Thai,951,2.7,2886,1694542,No
R100102,Restaurant_102,Pune,Chinese,388,4.9,2447,375351,Yes
R100103,Restaurant_103,Pune,Thai,1468,2.7,2244,1588201,Yes
R100104,Restaurant_104,Ahmedabad,Thai,261,3.8,1605,1503457,Yes
R100105,Restaurant_105,Chennai,North Indian,1261,3.9,3675,1642383,Yes
R100106,Restaurant_106,Bangalore,Chinese,625,2.8,2959,1464902,Yes
R100107,Restaurant_107,Ahmedabad,Fast Food,453,4.8,4552,499401,No
R100108,Restaurant_108,Kolkata,Mexican,1478,3.7,393,300084,Yes
R100109,Restaurant_109,Bangalore,Italian,439,2.9,4797,1038111,Yes
R100110,Restaurant_110,Delhi,Continental,357,4.3,1594,875142,Yes
R100111,Restaurant_111,Bangalore,Thai,1017,4.2,4046,1741531,Yes
R100112,Restaurant_112,Chennai,Fast Food,731,4.9,2868,1654584,No
R100113,Restaurant_113,Bangalore,Mughlai,519,3.6,88,1304652,Yes
R100114,Restaurant_114,Delhi,Mughlai,369,3.2,4432,166199,Yes
R100115,Restaurant_115,Chennai,Italian,1404,2.6,4807,1906292,Yes
R100116,Restaurant_116,Lucknow,Italian,951,4.3,3473,972163,Yes
R100117,Restaurant_117,Pune,Italian,968,4.0,1078,577250,Yes
R100118,Restaurant_118,Pune,Continental,498,4.9,285,277342,No
R100119,Restaurant_119,Jaipur,Continental,404,4.3,1018,1468110,Yes
R100120,Restaurant_120,Lucknow,Mexican,601,4.8,1280,173733,No
R100121,Restaurant_121,Lucknow,Thai,291,5.0,288,1766563,Yes
R100122,Restaurant_122,Bangalore,South Indian,1242,3.6,1904,951299,Yes
R100123,Restaurant_123,Pune,Mughlai,238,2.9,4974,1426844,Yes
R100124,Restaurant_124,Delhi,North Indian,1020,3.0,101,179238,Yes
R100125,Restaurant_125,Hyderabad,North Indian,1309,3.3,2205,330573,No
R100126,Restaurant_126,Hyderabad,Italian,672,3.8,1430,662062,Yes
R100127,Restaurant_127,Chennai,Japanese,809,2.8,1106,245628,Yes
R100128,Restaurant_128,Pune,Mughlai,1100,3.3,71,437423,Yes
R100129,Restaurant_129,Pune,South Indian,1059,3.3,356,965024,No
R100130,Restaurant_130,Hyderabad,South Indian,591,2.5,4156,126764,Yes
R100131,Restaurant_131,Pune,North Indian,187,3.4,2659,1746308,Yes
R100132,Restaurant_132,Bangalore,Japanese,1381,2.8,4343,1201644,Yes
R100133,Restaurant_133,Kolkata,South Indian,359,3.6,3650,1728255,Yes
R100134,Restaurant_134,Mumbai,Mughlai,662,3.0,2015,398117,Yes
R100135,Restaurant_135,Lucknow,Thai,1174,4.6,4696,709824,Yes
R100136,Restaurant_136,Jaipur,Fast Food,1130,2.7,3628,1592802,Yes
R100137,Restaurant_137,Chennai,Japanese,530,4.7,2593,1226245,Yes
R100138,Restaurant_138,Kolkata,South Indian,977,4.0,554,1105742,No
R100139,Restaurant_139,Hyderabad,Japanese,1008,3.6,186,530374,No
R100140,Restaurant_140,Lucknow,Japanese,543,3.9,1352,1373366,Yes
R100141,Restaurant_141,Pune,Thai,1223,3.4,4064,201382,Yes
R100142,Restaurant_142,Jaipur,Mughlai,545,2.8,3664,215480,Yes
R100143,Restaurant_143,Pune,North Indian,181,4.4,4997,1227089,Yes
R100144,Restaurant_144,Delhi,Thai,694,4.8,4856,592322,Yes
R100145,Restaurant_145,Delhi,South Indian,861,4.9,556,1942854,Yes
R100146,Restaurant_146,Jaipur,Italian,1407,4.2,4831,916335,Yes
R100147,Restaurant_147,Jaipur,Thai,1199,3.5,1583,1191093,Yes
R100148,Restaurant_148,Hyderabad,Italian,1234,3.7,3691,1368973,Yes
R100149,Restaurant_149,Jaipur,Chinese,702,4.1,4053,1996720,No
R100150,Restaurant_150,Bangalore,North Indian,1303,4.6,757,1306825,Yes
R100151,Restaurant_151,Pune,Mughlai,347,3.4,1673,1808854,Yes
R100152,Restaurant_152,Kolkata,Fast Food,948,4.8,4287,1251647,Yes
R100153,Restaurant_153,Ahmedabad,Japanese,843,3.3,2378,1841585,Yes
R100154,Restaurant_154,Jaipur,Italian,296,3.8,3064,1701139,No
R100155,Restaurant_155,Chennai,Fast Food,647,4.9,1757,675878,Yes
R100156,Restaurant_156,Delhi,Fast Food,197,4.8,351,1507235,Yes
R100157,Restaurant_157,Bangalore,Italian,919,4.2,2494,326885,No
R100158,Restaurant_158,Lucknow,Fast Food,800,3.3,367,851773,No
R100159,Restaurant_159,Ahmedabad,Japanese,1345,3.0,3005,1974202,Yes
R100160,Restaurant_160,Kolkata,Mexican,762,2.7,2977,1048888,Yes
R100161,Restaurant_161,Ahmedabad,Chinese,848,4.3,907,66740,Yes
R100162,Restaurant_162,Jaipur,Italian,1488,3.8,2770,1571794,Yes
R100163,Restaurant_163,Hyderabad,Japanese,525,3.9,3072,374629,Yes
R100164,Restaurant_164,Delhi,North Indian,955,3.7,726,1508771,Yes
R100165,Restaurant_165,Delhi,Italian,1070,3.7,428,264616,Yes
R100166,Restaurant_166,Lucknow,Japanese,1024,3.9,266,1358897,Yes
R100167,Restaurant_167,Hyderabad,Japanese,959,4.8,3750,1615801,Yes
R100168,Restaurant_168,Pune,Thai,1054,2.6,2946,1243908,No
R100169,Restaurant_169,Mumbai,Mexican,1360,4.5,4579,392968,Yes
R100170,Restaurant_170,Bangalore,Italian,1155,3.5,4901,634073,Yes
R100171,Restaurant_171,Delhi,Mughlai,182,4.4,3039,415414,Yes
R100172,Restaurant_172,Chennai,Japanese,218,4.9,3880,1780542,No
R100173,Restaurant_173,Delhi,Chinese,741,3.3,3706,1010295,Yes
R100174,Restaurant_174,Ahmedabad,Thai,1364,2.7,1556,185025,Yes
R100175,Restaurant_175,Delhi,Japanese,250,3.1,1340,1516236,No
R100176,Restaurant_176,Delhi,Italian,1458,3.1,1989,602165,Yes
R100177,Restaurant_177,Mumbai,South Indian,1063,4.4,4744,1858470,No
R100178,Restaurant_178,Mumbai,Japanese,882,2.7,285,1232218,Yes
R100179,Restaurant_179,Kolkata,Continental,539,2.6,1833,1130967,Yes
R100180,Restaurant_180,Pune,South Indian,309,4.2,4245,197548,Yes
R100181,Restaurant_181,Chennai,Japanese,1041,3.9,2836,1480307,No
R100182,Restaurant_182,Delhi,Fast Food,1220,3.5,1427,1764328,Yes
R100183,Restaurant_183,Delhi,Japanese,1332,3.9,2805,934134,Yes
R100184,Restaurant_184,Bangalore,North Indian,845,4.3,2133,259249,No
R100185,Restaurant_185,Mumbai,Fast Food,907,2.8,4459,1582782,Yes
R100186,Restaurant_186,Chennai,Italian,672,3.9,4145,857519,Yes
R100187,Restaurant_187,Lucknow,Chinese,881,4.6,4696,614797,Yes
R100188,Restaurant_188,Kolkata,South Indian,304,3.4,4662,1657528,Yes
R100189,Restaurant_189,Pune,Mughlai,488,4.4,2750,1648422,No
R100190,Restaurant_190,Hyderabad,Thai,944,4.6,4154,1199844,No
R100191,Restaurant_191,Pune,Chinese,1321,4.6,3599,241378,Yes
R100192,Restaurant_192,Ahmedabad,Fast Food,1048,4.1,4202,802024,Yes
R100193,Restaurant_193,Delhi,Thai,1317,4.3,2380,59302,No
R100194,Restaurant_194,Kolkata,South Indian,252,4.5,4606,449570,Yes
R100195,Restaurant_195,Ahmedabad,Mughlai,961,4.3,3811,468174,Yes
R100196,Restaurant_196,Chennai,Continental,242,3.6,2061,407970,Yes
R100197,Restaurant_197,Hyderabad,Continental,1124,2.9,2691,1831474,No
R100198,Restaurant_198,Mumbai,Mughlai,1459,3.3,2162,1190235,Yes
R100199,Restaurant_199,Kolkata,Thai,268,3.0,3550,216758,No
R100200,Restaurant_200,Kolkata,Italian,178,3.4,4281,1613800,Yes
R100201,Restaurant_201,Delhi,Thai,1162,3.7,4907,71508,Yes
R100202,Restaurant_202,Jaipur,Japanese,1203,4.9,1059,1832859,Yes
R100203,Restaurant_203,Kolkata,Thai,1021,4.9,1679,756970,Yes
R100204,Restaurant_204,Bangalore,Italian,949,4.4,3169,176323,No
R100205,Restaurant_205,Hyderabad,Chinese,1311,5.0,899,1279906,Yes
R100206,Restaurant_206,Hyderabad,South Indian,624,5.0,2917,595708,Yes
R100207,Restaurant_207,Bangalore,Thai,712,4.7,2089,1991934,Yes
R100208,Restaurant_208,Lucknow,South Indian,584,2.7,3285,790823,No
R100209,Restaurant_209,Bangalore,Fast Food,953,3.6,528,1159353,No
R100210,Restaurant_210,Bangalore,Continental,1407,3.8,1360,355563,Yes
R100211,Restaurant_211,Hyderabad,Continental,204,2.8,4681,1661744,Yes
R100212,Restaurant_212,Pune,Italian,1080,4.5,2193,1166194,Yes
R100213,Restaurant_213,Hyderabad,Fast Food,1465,2.9,463,587841,No
R100214,Restaurant_214,Jaipur,Continental,901,3.5,1706,414175,Yes
R100215,Restaurant_215,Delhi,Italian,461,2.7,2681,1169115,Yes
R100216,Restaurant_216,Ahmedabad,Thai,1262,3.8,3986,1358751,Yes
R100217,Restaurant_217,Pune,Fast Food,1385,4.0,1444,478842,Yes
R100218,Restaurant_218,Mumbai,Japanese,1106,4.3,2673,1795179,Yes
R100219,Restaurant_219,Ahmedabad,Japanese,467,3.3,2340,312870,Yes
R100220,Restaurant_220,Delhi,Japanese,906,4.0,688,297541,Yes
R100221,Restaurant_221,Jaipur,Chinese,614,4.3,3494,1155133,Yes
R100222,Restaurant_222,Jaipur,Japanese,1260,4.4,402,1246368,Yes
R100223,Restaurant_223,Mumbai,Fast Food,1413,3.3,4571,528738,Yes
R100224,Restaurant_224,Pune,North Indian,849,2.7,3198,604954,Yes
R100225,Restaurant_225,Lucknow,Continental,1230,2.6,4655,1596179,Yes
R100226,Restaurant_226,Bangalore,Japanese,1286,4.4,3638,1516953,Yes
R100227,Restaurant_227,Pune,Fast Food,884,3.5,189,658122,Yes
R100228,Restaurant_228,Lucknow,Mexican,1243,2.8,301,1074566,Yes
R100229,Restaurant_229,Jaipur,Thai,888,3.0,718,449442,No
R100230,Restaurant_230,Hyderabad,Chinese,917,4.4,3892,293363,Yes
R100231,Restaurant_231,Delhi,South Indian,1357,4.0,366,1961101,Yes
R100232,Restaurant_232,Mumbai,Italian,893,3.8,4068,1627834,Yes
R100233,Restaurant_233,Delhi,Mexican,425,4.1,2976,1957366,Yes
R100234,Restaurant_234,Chennai,Mexican,382,2.8,2059,1411523,Yes
R100235,Restaurant_235,Chennai,Chinese,203,3.3,2995,1411192,No
R100236,Restaurant_236,Pune,Italian,406,3.4,1102,1359371,Yes
R100237,Restaurant_237,Jaipur,Chinese,239,3.3,4686,739918,Yes
R100238,Restaurant_238,Jaipur,Japanese,557,4.7,3613,1480869,Yes
R100239,Restaurant_239,Bangalore,South Indian,1442,4.0,1173,1560209,Yes
R100240,Restaurant_240,Bangalore,Italian,515,4.3,1393,1672970,No
R100241,Restaurant_241,Bangalore,Fast Food,500,3.1,619,1219248,No
R100242,Restaurant_242,Hyderabad,Continental,1472,3.2,4868,841975,No
R100243,Restaurant_243,Ahmedabad,Chinese,1332,3.1,3771,1105706,Yes
R100244,Restaurant_244,Kolkata,South Indian,636,4.2,3966,625506,Yes
R100245,Restaurant_245,Ahmedabad,Thai,991,3.4,1050,457350,Yes
R100246,Restaurant_246,Delhi,North Indian,1133,3.5,2973,692927,No
R100247,Restaurant_247,Ahmedabad,Thai,770,4.3,2286,1330813,Yes
R100248,Restaurant_248,Hyderabad,North Indian,1079,4.9,4595,1833811,No
R100249,Restaurant_249,Delhi,Mughlai,550,2.9,3975,212258,No
R100250,Restaurant_250,Ahmedabad,Fast Food,1269,2.7,3302,207885,Yes
R100251,Restaurant_251,Hyderabad,Mughlai,719,3.0,3442,746382,Yes
R100252,Restaurant_252,Kolkata,Chinese,1124,4.3,2380,1566533,No
R100253,Restaurant_253,Ahmedabad,Chinese,541,3.0,3442,1366853,No
R100254,Restaurant_254,Hyderabad,North Indian,501,4.0,2667,494357,Yes
R100255,Restaurant_255,Bangalore,Italian,955,4.0,4170,1551038,Yes
R100256,Restaurant_256,Jaipur,South Indian,725,3.2,4405,395868,Yes
R100257,Restaurant_257,Bangalore,Japanese,926,2.7,2063,643149,Yes
R100258,Restaurant_258,Jaipur,Mexican,782,3.5,1977,414146,No
R100259,Restaurant_259,Mumbai,Chinese,1461,3.0,2594,187045,No
R100260,Restaurant_260,Mumbai,Mughlai,672,3.0,4597,891475,Yes
R100261,Restaurant_261,Mumbai,Mughlai,875,3.8,4845,567121,No
R100262,Restaurant_262,Kolkata,Thai,311,4.2,3769,1377981,Yes
R100263,Restaurant_263,Bangalore,Fast Food,808,2.7,3723,151661,Yes
R100264,Restaurant_264,Jaipur,North Indian,1355,3.9,1601,263123,Yes
R100265,Restaurant_265,Hyderabad,Mexican,999,3.1,1732,1791871,No
R100266,Restaurant_266,Delhi,North Indian,231,4.2,434,1311098,Yes
R100267,Restaurant_267,Hyderabad,Chinese,673,4.5,4758,535980,Yes
R100268,Restaurant_268,Delhi,Continental,153,4.5,3086,155388,No
R100269,Restaurant_269,Chennai,Mexican,644,3.4,2316,706352,No
R100270,Restaurant_270,Hyderabad,Thai,1224,3.9,4702,481756,Yes
R100271,Restaurant_271,Ahmedabad,Mughlai,1434,4.5,4495,690046,Yes
R100272,Restaurant_272,Ahmedabad,Thai,1307,2.7,439,925750,No
R100273,Restaurant_273,Pune,Chinese,717,4.0,2968,1911343,No
R100274,Restaurant_274,Bangalore,Continental,1390,4.6,2163,826475,No
R100275,Restaurant_275,Delhi,Japanese,1027,3.4,1192,1035636,Yes
R100276,Restaurant_276,Delhi,Mexican,1241,3.6,795,1847147,Yes
R100277,Restaurant_277,Bangalore,North Indian,1161,4.2,1780,1743082,Yes
R100278,Restaurant_278,Kolkata,Mexican,1164,2.7,4172,1622312,Yes
R100279,Restaurant_279,Pune,Mughlai,1013,3.5,4435,1868269,No
R100280,Restaurant_280,Kolkata,North Indian,1316,3.2,4173,839381,Yes
R100281,Restaurant_281,Kolkata,Japanese,928,2.5,3280,989229,Yes
R100282,Restaurant_282,Kolkata,Japanese,1367,3.0,3266,866503,Yes
R100283,Restaurant_283,Bangalore,Fast Food,1154,3.5,2564,833368,Yes
R100284,Restaurant_284,Kolkata,North Indian,1419,3.0,1819,1386197,Yes
R100285,Restaurant_285,Ahmedabad,South Indian,463,4.0,157,233708,Yes
R100286,Restaurant_286,Mumbai,Continental,879,3.6,2536,1169702,Yes
R100287,Restaurant_287,Chennai,South Indian,533,2.6,4348,352149,Yes
R100288,Restaurant_288,Delhi,Japanese,426,3.2,826,259237,No
R100289,Restaurant_289,Delhi,North Indian,1245,2.5,1983,1426321,Yes
R100290,Restaurant_290,Chennai,Fast Food,1302,3.4,487,587182,Yes
R100291,Restaurant_291,Bangalore,Mexican,847,3.1,1084,1561092,Yes
R100292,Restaurant_292,Hyderabad,Mexican,1393,4.2,886,159637,No
R100293,Restaurant_293,Bangalore,Mexican,1179,3.3,4752,986681,Yes
R100294,Restaurant_294,Delhi,Fast Food,900,3.4,691,1208404,Yes
R100295,Restaurant_295,Delhi,Chinese,1132,4.3,3224,290147,Yes
R100296,Restaurant_296,Chennai,North Indian,773,3.7,1858,1853659,Yes
R100297,Restaurant_297,Kolkata,South Indian,377,3.9,3925,1759413,No
R100298,Restaurant_298,Bangalore,Continental,166,4.6,692,1963189,Yes
R100299,Restaurant_299,Jaipur,Japanese,161,3.0,752,379095,No
R100300,Restaurant_300,Chennai,Continental,841,5.0,2898,943303,Yes
R100301,Restaurant_301,Ahmedabad,Japanese,219,4.8,2967,768009,Yes
R100302,Restaurant_302,Delhi,North Indian,257,3.2,3662,1792128,No
R100303,Restaurant_303,Chennai,North Indian,350,4.7,1772,449423,Yes
R100304,Restaurant_304,Bangalore,Thai,1225,4.4,898,320513,Yes
R100305,Restaurant_305,Delhi,South Indian,778,4.8,2604,1049658,Yes
R100306,Restaurant_306,Hyderabad,Mughlai,1432,4.2,1512,378441,Yes
R100307,Restaurant_307,Chennai,Japanese,1437,4.2,3879,1856118,Yes
R100308,Restaurant_308,Pune,Italian,1055,2.5,3832,1579118,Yes
R100309,Restaurant_309,Delhi,Mughlai,452,3.7,560,51282,Yes
R100310,Restaurant_310,Bangalore,Mexican,1086,3.0,2206,262434,Yes
R100311,Restaurant_311,Mumbai,Continental,725,3.3,2969,1247295,No
R100312,Restaurant_312,Jaipur,North Indian,704,4.9,782,1323334,Yes
R100313,Restaurant_313,Lucknow,Italian,274,2.7,3000,1186199,Yes
R100314,Restaurant_314,Kolkata,Japanese,1443,4.3,4010,873646,Yes
R100315,Restaurant_315,Lucknow,Chinese,1008,2.9,1287,284012,Yes
R100316,Restaurant_316,Bangalore,Japanese,894,2.5,1530,1580821,Yes
R100317,Restaurant_317,Ahmedabad,Continental,629,3.8,2515,1429639,Yes
R100318,Restaurant_318,Ahmedabad,Japanese,281,2.9,2060,1314577,No
R100319,Restaurant_319,Mumbai,Japanese,1175,4.9,4807,756134,Yes
R100320,Restaurant_320,Kolkata,Fast Food,264,3.0,2785,1597371,Yes
R100321,Restaurant_321,Pune,South Indian,630,3.0,4249,181101,Yes
R100322,Restaurant_322,Mumbai,Mughlai,1130,2.6,2809,1279108,No
R100323,Restaurant_323,Lucknow,Chinese,1174,3.3,627,911669,Yes
R100324,Restaurant_324,Mumbai,North Indian,480,2.6,3546,1444733,No
R100325,Restaurant_325,Lucknow,Japanese,1091,3.7,868,1675446,Yes
R100326,Restaurant_326,Delhi,Chinese,1104,3.8,4224,1836630,Yes
R100327,Restaurant_327,Ahmedabad,Thai,917,2.6,1939,1706382,Yes
R100328,Restaurant_328,Delhi,Japanese,540,3.1,608,518398,No
R100329,Restaurant_329,Jaipur,Fast Food,983,4.6,2983,609659,No
R100330,Restaurant_330,Kolkata,Fast Food,292,3.7,1669,1884234,Yes
R100331,Restaurant_331,Pune,Italian,477,3.6,119,52480,Yes
R100332,Restaurant_332,Lucknow,Mexican,777,4.2,1239,59038,Yes
R100333,Restaurant_333,Pune,Continental,526,4.3,2952,1647646,Yes
R100334,Restaurant_334,Lucknow,Mughlai,239,4.4,4390,375588,Yes
R100335,Restaurant_335,Bangalore,Thai,957,4.6,3166,896269,Yes
R100336,Restaurant_336,Mumbai,Continental,1170,3.1,733,135050,No
R100337,Restaurant_337,Jaipur,Continental,1215,2.7,3960,976925,Yes
R100338,Restaurant_338,Ahmedabad,Italian,1208,3.5,3822,230170,Yes
R100339,Restaurant_339,Lucknow,Fast Food,1161,4.6,120,924826,Yes
R100340,Restaurant_340,Pune,South Indian,702,2.7,1312,136611,No
R100341,Restaurant_341,Jaipur,Chinese,273,3.9,2205,1121628,Yes
R100342,Restaurant_342,Hyderabad,North Indian,206,4.3,4867,1691196,Yes
R100343,Restaurant_343,Hyderabad,South Indian,955,3.7,4447,1486829,Yes
R100344,Restaurant_344,Delhi,South Indian,384,3.1,1421,1525687,No
R100345,Restaurant_345,Ahmedabad,Mexican,757,3.3,1965,1825974,No
R100346,Restaurant_346,Bangalore,Mexican,541,2.7,3855,947875,No
R100347,Restaurant_347,Pune,South Indian,1119,3.2,4401,295100,Yes
R100348,Restaurant_348,Mumbai,Fast Food,1349,2.6,1597,1406330,Yes
R100349,Restaurant_349,Mumbai,Continental,201,4.3,3948,698370,No
R100350,Restaurant_350,Pune,Chinese,638,4.7,4505,1338549,No
R100351,Restaurant_351,Kolkata,Continental,154,4.1,3605,1362007,Yes
R100352,Restaurant_352,Bangalore,Continental,781,4.1,1263,136770,Yes
R100353,Restaurant_353,Jaipur,Continental,1382,3.7,2190,337268,Yes
R100354,Restaurant_354,Lucknow,Chinese,366,2.9,910,594617,No
R100355,Restaurant_355,Kolkata,Chinese,685,2.5,1039,1341616,Yes
R100356,Restaurant_356,Lucknow,Italian,887,3.4,4629,742057,No
